"price:3990000, area:4100, bedrooms:4, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3773000, area:6930, bedrooms:4, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:3745000, area:3480, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3710000, area:3600, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3710000, area:4040, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3710000, area:6020, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3710000, area:4050, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3710000, area:3584, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3703000, area:3120, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:yes, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3703000, area:5450, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3675000, area:3630, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3675000, area:3630, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3675000, area:5640, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3675000, area:3600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3640000, area:4280, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3640000, area:3570, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3640000, area:3180, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3640000, area:3000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3640000, area:3520, bedrooms:2, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3640000, area:5960, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3640000, area:4130, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3640000, area:2850, bedrooms:3, bathrooms:2, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:3640000, area:2275, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3633000, area:3520, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:unfurnished"
"price:3605000, area:4500, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3605000, area:4000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3570000, area:3150, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3570000, area:4500, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished"
"price:3570000, area:4500, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3570000, area:3640, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3535000, area:3850, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:4240, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:3650, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:4600, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:2135, bedrooms:3, bathrooms:2, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:3036, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:3990, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:7424, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:3480, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:3600, bedrooms:6, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:3640, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:5900, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:3500000, area:3120, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:7350, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3500000, area:3512, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:unfurnished"
"price:3500000, area:9500, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:3, prefarea:yes, furnishingstatus:unfurnished"
"price:3500000, area:5880, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3500000, area:12944, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3493000, area:4900, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3465000, area:3060, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3465000, area:5320, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:unfurnished"
"price:3465000, area:2145, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished"
"price:3430000, area:4000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3430000, area:3185, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:3430000, area:3850, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3430000, area:2145, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished"
"price:3430000, area:2610, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:3430000, area:1950, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:3423000, area:4040, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3395000, area:4785, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished"
"price:3395000, area:3450, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:3395000, area:3640, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3360000, area:3500, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:3360000, area:4960, bedrooms:4, bathrooms:1, stories:3, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3360000, area:4120, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3360000, area:4750, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3360000, area:3720, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3360000, area:3750, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3360000, area:3100, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3360000, area:3185, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished"
"price:3353000, area:2700, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3332000, area:2145, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished"
"price:3325000, area:4040, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3325000, area:4775, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3290000, area:2500, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3290000, area:3180, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3290000, area:6060, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3290000, area:3480, bedrooms:4, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3290000, area:3792, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3290000, area:4040, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3290000, area:2145, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished"
"price:3290000, area:5880, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3255000, area:4500, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3255000, area:3930, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3234000, area:3640, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3220000, area:4370, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3220000, area:2684, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3220000, area:4320, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3220000, area:3120, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3150000, area:3450, bedrooms:1, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3150000, area:3986, bedrooms:2, bathrooms:2, stories:1, mainroad:no, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3150000, area:3500, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3150000, area:4095, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3150000, area:1650, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3150000, area:3450, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3150000, area:6750, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3150000, area:9000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3150000, area:3069, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3143000, area:4500, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3129000, area:5495, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3118850, area:2398, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3115000, area:3000, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3115000, area:3850, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3115000, area:3500, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3087000, area:8100, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:3080000, area:4960, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3080000, area:2160, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3080000, area:3090, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3080000, area:4500, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3045000, area:3800, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3010000, area:3090, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
